,Unnamed: 0,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
745,1699,T-STAT for detecting autism spectrum disorder in toddlers aged 18-24 months.,2020-11-27 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320972300,,"The benefits of early intervention for young children with autism spectrum disorder highlight the importance of early diagnosis. Reliable diagnoses of autism spectrum disorder can be made before 24 months of age. However, many children are diagnosed with autism spectrum disorder at a later age. Delayed diagnosis can occur for children with less severe symptoms and lead to missed opportunities for early intervention. This current study was executed to examine the Taiwanese version of the Screening Tool for Autism in Two-Year-Olds in detecting autism spectrum disorder in toddlers between 18 and 24 months of age. One strength of this study was the inclusion of toddlers with autism spectrum disorder or mild-autism spectrum disorder using the strict and relaxed <i>Diagnostic and Statistical Manual of Mental Disorders</i> (5th ed.) criteria for autism spectrum disorder simultaneously. The results of this study supported that diagnosis of toddlers with autism spectrum disorder could be made reliable before 24 months of age. And the Taiwanese version of the Screening Tool for Autism in Two-Year-Olds was a Level 2 autism-specific screening tool for toddlers aged from 18 to 24 months in Taiwan.",pubmed,0.8324648765307795
915,1897,Disparities in autism spectrum disorder diagnoses among 8-year-old children in Colorado: Who are we missing?,2020-08-28 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320950058,,"Although autism can be reliably diagnosed as early as 2 years of age, many children are not diagnosed with autism until much later. We analyzed data to determine why many of the 8-year-old children who resided in Colorado and were identified as having autism through a review of their health and/or educational records did not have a documented clinical diagnosis of autism and were not eligible for special education services under an autism eligibility. We found that children who did not have a documented clinical diagnosis of autism and were not eligible for special education services under an autism eligibility were more likely to be female, aggressive, and argumentative. They had a poorer quality of information in their records and were less likely to have had a developmental regression, sleep problems, or an autism screener or diagnostic measure in their records. These results suggest that the symptoms characteristic of autism among this group of children may have been attributed to another disorder and that clinicians may be able to recognize autism more readily in children with more functional impairment and those who experience a developmental regression. We also discovered that differences in symptom presentations among children who had a documented clinical diagnosis of autism and/or were eligible for special education services under an autism eligibility were associated with different ages at autism diagnosis.",pubmed,0.8297720759048566
191,1065,"Artificial Intelligence: the ""Trait D'Union"" in Different Analysis Approaches of Autism Spectrum Disorder Studies.",2021-02-03 00:00:00,,Current medicinal chemistry,10.2174/0929867328666210203205221,,"Autistic Spectrum Disorder (ASD) is a neurodevelopmental condition affecting approximately 1 out of 70 (range 1:59 - 1:89) children worldwide. It is characterized by a delay in cognitive capabilities, repetitive and restricted behaviors and deficit in communication and social interaction. Several factors seem to be associated with ASD development; its heterogeneous nature makes the diagnosis difficult and slow since it is essentially based on screening tools focused on stereotypical and repetitive behaviors, gait, facial emotion expression and speech assessments. Recently, artificial intelligence (AI) has been widely used to investigate ASD with the overall goal of simplifying and speeding up the diagnostic process as well as making earlier access to therapies possible. The aim of this review is to provide an overview of the state-of-the-art research in the ASD field identifying and describing machine learning (ML) approaches in ASD literature that could be used by clinicians to improve diagnostic capability and treatment efficiency. A systematic search was conducted and the resulting articles were subdivided into several categories reflecting the different fields of study associated with ASD research. The existing literature has widely demonstrated the potential of ML in several types of ASD study analyses: behavior, gait, speech, facial emotion expression, neuroimaging, genetics, and metabolomics. Therefore, AI techniques are becoming increasingly implemented and accepted, so highlighting the power of ML approaches to extract and obtain knowledge from a large volume of data. This makes ML a promising tool for future ASD research and clinical endeavors suggesting possible avenues for improving ASD screening, diagnostic and therapeutic tools.",pubmed,0.8288480048730128
751,1705,A Developmental Profile of Children With Autism Spectrum Disorder in China Using the Griffiths Mental Development Scales.,2020-11-09 00:00:00,,Frontiers in psychology,10.3389/fpsyg.2020.570923,,"The purpose of this study was to profile the mental development of children aged 18 to 96 months with autism spectrum disorder (ASD) using the Chinese version of the Griffiths Mental Development Scales (GMDS), and to explore the relationships between developmental levels and ASD severity, the sex of the child and the age of ASD diagnosis. Children with ASD (<i>n</i> = 398; 337 boys, 61 girls) were recruited and ASD severity evaluated using the Autism Behavior Checklist and the Childhood Autism Rating Scale, while the GMDS was used to evaluate the children's mental development. Study participants were divided into groups according to GMDS general and subscale quotients, ASD severity, sex, and age. The majority of groups divided according to the GMDS quotients exhibited an unbalanced distribution in respect of the six domains of the GMDS and there were significant differences within the six subscale quotients. Autism severity, sex and age had significant effects on the overall level of development of autistic children. The quotients recorded for the children with more severe ASD were significantly lower than those for the children with less severe ASD. A markedly higher proportion of developmental delay was recorded for girls than boys in relation to the performance subscale. The locomotor quotient decreased in line with age at diagnosis, while autism severity and age had significant effects on the general and subscale quotients and sex had a significant effect on performance quotient. Children with ASD exhibit an uneven cognitive development profile, and their overall developmental levels are affected by autism severity, sex and age. Specific cognitive domains differ according to sex in children with ASD. Locomotor skills tend to decrease according to the age at diagnosis for autistic children aged 18 to 84 months. Autism severity and age are also associated with the level of functioning in different cognitive areas. These findings contribute to define the cognitive developmental profiles of children with ASD.",pubmed,0.819081581274526
441,1350,Neural correlates of polygenic risk score for autism spectrum disorders in general population.,2020-07-08 00:00:00,,Brain communications,10.1093/braincomms/fcaa092,,"Autism spectrum disorder is a highly prevalent and highly heritable neurodevelopmental condition, but studies have mostly taken traditional categorical diagnosis approach (yes/no for autism spectrum disorder). In contrast, an emerging notion suggests a continuum model of autism spectrum disorder with a normal distribution of autistic tendencies in the general population, where a full diagnosis is at the severe tail of the distribution. We set out to investigate such a viewpoint by investigating the interaction of polygenic risk scores for autism spectrum disorder and Age<sup>2</sup> on neuroimaging measures (cortical thickness and white matter connectivity) in a general population (<i>n </i>=<i> </i>391, with age ranging from 3 to 21 years from the Pediatric Imaging, Neurocognition and Genetics study). We observed that children with higher polygenic risk for autism spectrum disorder exhibited greater cortical thickness for a large age span starting from 3 years up to ∼14 years in several cortical regions localized in bilateral precentral gyri and the left hemispheric postcentral gyrus and precuneus. In an independent case-control dataset from the Autism Brain Imaging Data Exchange (<i>n </i>=<i> </i>560), we observed a similar pattern: children with autism spectrum disorder exhibited greater cortical thickness starting from 6 years onwards till ∼14 years in wide-spread cortical regions including (the ones identified using the general population). We also observed statistically significant regional overlap between the two maps, suggesting that some of the cortical abnormalities associated with autism spectrum disorder overlapped with brain changes associated with genetic vulnerability for autism spectrum disorder in healthy individuals. Lastly, we observed that white matter connectivity between the frontal and parietal regions showed significant association with polygenic risk for autism spectrum disorder, indicating that not only the brain structure, but the white matter connectivity might also show a predisposition for the risk of autism spectrum disorder. Our findings showed that the fronto-parietal thickness and connectivity are dimensionally related to genetic risk for autism spectrum disorder in general population and are also part of the cortical abnormalities associated with autism spectrum disorder. This highlights the necessity of considering continuum models in studying the aetiology of autism spectrum disorder using polygenic risk scores and multimodal neuroimaging.",pubmed,0.8163176539462864
801,1765,A study on EEG feature extraction and classification in autistic children based on singular spectrum analysis method.,2020-10-30 00:00:00,,Brain and behavior,10.1002/brb3.1721,,"The clinical diagnosis of Autism spectrum disorder (ASD) depends on rating scale evaluation, which introduces subjectivity. Thus, objective indicators of ASD are of great interest to clinicians. In this study, we sought biomarkers from resting-state electroencephalography (EEG) data that could be used to accurately distinguish children with ASD and typically developing (TD) children.",pubmed,0.813790671180283
723,1675,A machine learning approach for retinal images analysis as an objective screening method for children with autism spectrum disorder.,2020-11-05 00:00:00,,EClinicalMedicine,10.1016/j.eclinm.2020.100588,,"Autism spectrum disorder (ASD) is characterised by many of features including problem in social interactions, different ways of learning, some children showing a keen interest in specific subjects, inclination to routines, challenges in typical communication, and particular ways of processing sensory information. Early intervention and suitable supports for these children may make a significant contribution to their development. However, considerable difficulties have been encountered in the screening and diagnosis of ASD. The literature has indicated that certain retinal features are significantly associated with ASD. In this study, we investigated the use of machine learning approaches on retinal images to further enhance the classification accuracy.",pubmed,0.8106354903766069
471,1384,Missed diagnoses and misdiagnoses of adults with autism spectrum disorder.,2020-09-06 00:00:00,,European archives of psychiatry and clinical neuroscience,10.1007/s00406-020-01189-w,,"Autism spectrum disorder (ASD) is a group of life-long neurodevelopmental disorders affecting 1.5% of the general population. The present study aimed to evaluate the psychiatric history of a group of adults who received the first diagnosis of ASD in two Italian university centers. Diagnoses of ASD were confirmed by a team of psychiatrists with wide expertise in the field, after the administration of standardized tools (i.e., ADOS-2, ADI-R). The sample comprised 161 participants, of which 114 (79.5%) were males. The median age of diagnosis was 23 years (range 18-55), with a median IQ of 100 (range 30-145). The first evaluation by a mental health professional was performed at a median age of 13 years, with a gap of 11 years between the first evaluation and the diagnosis of ASD. 33.5% of participants had never received a psychiatric diagnosis, while the rest of the sample had received one or more diagnoses different from ASD. The most common past diagnoses were intellectual disability, psychoses, personality disorders, and depression. Sex differences were detected in the age of diagnosis and ADOS-2 scores. Our results provide important information for both child and adult psychiatrists. Given the prevalence of autism and the high rates of co-occurrent psychiatric conditions, it is important for clinicians to consider ASD in the differential diagnostic process.",pubmed,0.8098660822841186
384,1286,First Alarm and Time of Diagnosis in Autism Spectrum Disorders.,2020-10-22 00:00:00,,Comprehensive child and adolescent nursing,10.1080/24694193.2020.1834013,,"Early diagnosis of autism spectrum disorder (ASD) is of paramount importance as it opens the road to early intervention, which is associated with better prognosis. However, early diagnosis is often delayed until preschool or school age. The purpose of the current retrospective study was to explore the age of recognition of first alarming symptoms in boys and girls as well as the age at diagnosis of different subtypes of ASD in a small sample. A total of 128 parents' of children with ASDs were participated in the survey by completing a self-report questionnaire about early signs and symptoms that raised their concern. Parents of children with autism voiced concerns earlier and obtained diagnosis significantly earlier compared to parents of children with Asperger syndrome (<i>p</i> value <0.000). No significant difference (<i>p</i> value<0.05) has been detected between males and females in early manifestation of first signs and symptoms of ASD. The mean age at diagnosis was 3.8 years for autistic disorder, 6.2 years for children with Asperger syndrome and 6.4 years for other, e.g., PDD-NOS. The most commonly reported symptoms were speech and language problems (<i>p</i> value = 0.001) for children who were later diagnosed with autism, while behavior problems (<i>p</i> value = 0.046) as well as difficulties in education at school (<i>p</i> value = 0.013) for children with Asperger syndrome. The gap between early identification and diagnosis pinpoints the urgent need for national systematic early screening, the development of reliable and sensitive diagnostic instruments for infants and toddlers and heightened awareness of early signs of ASD among parents, teachers, and healthcare professionals and providers as well.",pubmed,0.8043937593207918
737,1691,Deep-Learning-Based Detection of Infants with Autism Spectrum Disorder Using Auto-Encoder Feature Representation.,2020-11-26 00:00:00,,"Sensors (Basel, Switzerland)",E6762,,"Autism spectrum disorder (ASD) is a developmental disorder with a life-span disability. While diagnostic instruments have been developed and qualified based on the accuracy of the discrimination of children with ASD from typical development (TD) children, the stability of such procedures can be disrupted by limitations pertaining to time expenses and the subjectivity of clinicians. Consequently, automated diagnostic methods have been developed for acquiring objective measures of autism, and in various fields of research, vocal characteristics have not only been reported as distinctive characteristics by clinicians, but have also shown promising performance in several studies utilizing deep learning models based on the automated discrimination of children with ASD from children with TD. However, difficulties still exist in terms of the characteristics of the data, the complexity of the analysis, and the lack of arranged data caused by the low accessibility for diagnosis and the need to secure anonymity. In order to address these issues, we introduce a pre-trained feature extraction auto-encoder model and a joint optimization scheme, which can achieve robustness for widely distributed and unrefined data using a deep-learning-based method for the detection of autism that utilizes various models. By adopting this auto-encoder-based feature extraction and joint optimization in the extended version of the Geneva minimalistic acoustic parameter set (eGeMAPS) speech feature data set, we acquire improved performance in the detection of ASD in infants compared to the raw data set.",pubmed,0.8030217869477929
648,1590,Early Social Experience and Digital-Media Exposure in Children with Autism Spectrum Disorder.,2021-01-20 00:00:00,,Indian journal of pediatrics,10.1007/s12098-021-03666-z,,To study the early social experience and digital media exposure in children with autism spectrum disorder (ASD) in comparison with typically developed children.,pubmed,0.7968848354053211
800,1764,"To reduce the average age of autism diagnosis, screen preschoolers in primary care.",2020-10-30 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320968974,,"Pediatric primary care providers check for autism signs, usually using a standard checklist, at 18- and 24-month well-child visits. When the checklist shows possible autism, children should be referred for additional treatment and evaluation with an autism specialist. However, many children with autism spectrum disorder are not detected as toddlers. Low-income and minority children are particularly likely to have a late autism spectrum disorder diagnosis. Checking for autism at preschool-aged well-child visits might be one way to identify autism spectrum disorder earlier, especially for low-income and minority children.",pubmed,0.7898286787995141
415,1320,"Referral, Assessment and Use of Screening Measures Related to Autism Spectrum Disorder at a Tertiary Hospital Setting.",2020-10-09 00:00:00,,Journal of autism and developmental disorders,10.1007/s10803-020-04725-8,,"Children with developmental concerns in Australia continue to experience inequitable healthcare and service-related delays, even when diagnostic risk is identified. This study sought to explore service and demographic pathway factors leading up to autism spectrum disorder (ASD) assessment, including value of screening measures applied at triage. Following a trial of centralised intake for referred young children with suspected ASD, observational, retrospective pathway data was explored using bivariate and regression analyses. The mean age of 159 children referred with autism symptoms was 3.6 years, and 64% were diagnosed with ASD. Service allocation was associated with diagnosis, whilst screening tool results were not. Improved pathways are needed to limit wasted waiting times and direct each child to needs-based services.",pubmed,0.7886904825431269
38,325,"Behaviour, cognition, and autism symptoms and their relationship with sleep problem severity in young children with autism spectrum disorder",,Developmental and Educational Psychology,,10.1016/j.rasd.2021.101743,"{'given': 'Stephanie', 'family': 'Roussis', 'sequence': 'first', 'affiliation': []}",,crossref,0.783400234306653
884,1860,Where are they now? An autism follow-up study.,2020-09-15 00:00:00,,Journal of paediatrics and child health,10.1111/jpc.15193,,"To explore the stability of diagnosis and the relationship between behavioural, adaptive and developmental skills in early to middle childhood in children with autism spectrum disorder (ASD).",pubmed,0.7825256296832699
397,1301,An Autoencoder-Based Deep Learning Classifier for Efficient Diagnosis of Autism.,2020-10-14 00:00:00,,"Children (Basel, Switzerland)",E182,,"Autism spectrum disorder (ASD) is a neurodevelopmental disorder characterized by a lack of social communication and social interaction. Autism is a mental disorder investigated by social and computational intelligence scientists utilizing advanced technologies such as machine learning models to enhance clinicians' ability to provide robust diagnosis and prognosis of autism. However, with dynamic changes in autism behaviour patterns, these models' quality and accuracy have become a great challenge for clinical practitioners. We applied a deep neural network learning on a large brain image dataset obtained from ABIDE (autism brain imaging data exchange) to provide an efficient diagnosis of ASD, especially for children. Our deep learning model combines unsupervised neural network learning, an autoencoder, and supervised deep learning using convolutional neural networks. Our proposed algorithm outperforms individual-based classifiers measured by various validations and assessment measures. Experimental results indicate that the autoencoder combined with the convolution neural networks provides the best performance by achieving 84.05% accuracy and Area under the Curve (AUC) value of 0.78.",pubmed,0.7820958543404077
290,1177,Early screening of autism spectrum disorder using cry features.,2020-12-10 00:00:00,,PloS one,10.1371/journal.pone.0241690,,"The increase in the number of children with autism and the importance of early autism intervention has prompted researchers to perform automatic and early autism screening. Consequently, in the present paper, a cry-based screening approach for children with Autism Spectrum Disorder (ASD) is introduced which would provide both early and automatic screening. During the study, we realized that ASD specific features are not necessarily observable in all children with ASD and in all instances collected from each child. Therefore, we proposed a new classification approach to be able to determine such features and their corresponding instances. To test the proposed approach a set of data relating to children between 18 to 53 months which had been recorded using high-quality voice recording devices and typical smartphones at various locations such as homes and daycares was studied. Then, after preprocessing, the approach was used to train a classifier, using data for 10 boys with ASD and 10 Typically Developed (TD) boys. The trained classifier was tested on the data of 14 boys and 7 girls with ASD and 14 TD boys and 7 TD girls. The sensitivity, specificity, and precision of the proposed approach for boys were 85.71%, 100%, and 92.85%, respectively. These measures were 71.42%, 100%, and 85.71% for girls, respectively. It was shown that the proposed approach outperforms the common classification methods. Furthermore, it demonstrated better results than the studies which used voice features for screening ASD. To pilot the practicality of the proposed approach for early autism screening, the trained classifier was tested on 57 participants between 10 to 18 months. These 57 participants consisted of 28 boys and 29 girls and the results were very encouraging for the use of the approach in early ASD screening.",pubmed,0.7807018178661764
